stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id
1659,"CAMPUS WAY/NEIL ROAD",,           ,           ,,,,,,
166,"KING'S ROW/MARNE",,  39.570469,-119.783356,,,,,,
1660,"HIGHLAND/EVANS",,           ,           ,,,,,,
1661,"HIGHLAND/BEECH",,           ,           ,,,,,,
1662,"VALLEY/DENSLOW",,           ,           ,,,,,,
1663,"VALLEY/SOARING EAGLE",,           ,           ,,,,,,
1664,"VALLEY/HOOD",,           ,           ,,,,,,
1665,"Enterprise/Valley",,           ,           ,,,,,,
167,"KING'S ROW/APOLLO",,  39.533955,-119.797890,,,,,,
1674,"Sharlands/Robb",,           ,           ,,,,,,
1675,"Sharlands/Sharlands Terrace Apt.",,           ,           ,,,,,,
1676,"Sharlands/Avenda de Landa",,           ,           ,,,,,,
1677,"Avenda de Landa/Chesterfield",,           ,           ,,,,,,
168,"KING'S ROW/WYOMING",,  39.570503,-119.782997,,,,,,
1680,"ARLINGTON/SECOND",,           ,           ,,,,,,
1682,"Center/7th",,           ,           ,,,,,,
169,"KING'S ROW/CROWN",,  39.603867,-119.771072,,,,,,
1697,"S. VIRGINIA/(Winco Entrance)",,           ,           ,,,,,,
1698,"S. Virginia/(Shop & Go Mkt)",,           ,           ,,,,,,
1699,"Carson St/College Pkwy",,           ,           ,,,,,,
170,"KING'S ROW/SEVERN",,  39.524910,-119.758385,,,,,,
1700,"Carson St/Hot Springs",,           ,           ,,,,,,
1702,"Stewart/(Supreme Court)",,           ,           ,,,,,,
1708,"Stewart/(Supreme Court)",,           ,           ,,,,,,
1710,"Carson St/Hot Springs",,           ,           ,,,,,,
1711,"Carson St/College Pkwy",,           ,           ,,,,,,
1712,"S. VIRGINIA/(Wal-Mart)",,           ,           ,,,,,,
1714,"Enterprise/Evans",,           ,           ,,,,,,
1719,"Parr/Ferrari-Mcleod",,           ,           ,,,,,,
1720,"SKY VISTA/LEMMON DR.",,           ,           ,,,,,,
1721,"SKY VISTA/LEMMON DR.",,           ,           ,,,,,,
1722,"SKY VISTA/North Valley Park",,           ,           ,,,,,,
1723,"SKY VISTA/North Valley park",,           ,           ,,,,,,
1724,"SILVER LAKE/SKY VISTA",,           ,           ,,,,,,
1725,"SILVER LAKE/SKY VISTA",,           ,           ,,,,,,
1726,"SILVER LAKE/FLAT LAND",,           ,           ,,,,,,
1727,"Silver Lake/Gulf Stream",,           ,           ,,,,,,
